Cost
Mycs GmbH||3,551|
Access Systems, Inc.||3,500|
Festicket Ltd||3,248|
Infinity Reliance Limited (t/a My First Years)||2,576|
Exonar Limited||2,495|
Zoovu Limited (formerly Smart Assistant)||2,177|
Written Byte Ltd (t/a Deepcrawl)||1,400|
Aistemos Limited||1,223|
POQ Studio Ltd|||902
Disposable Cubicle Curtains Limited (t/a Hygenica)|||670
Firefly Learning Limited|||443
InContext Solutions, Inc.|||442
MPB Group Limited|||369
Perfect Channel Limited|||367
Thread, Inc.|||105
Total|23,468||
